city_id,grievance_id,ward_id,ward_name_raw,ward_name_canon,category_raw,sub_category_raw,category_norm,description,created_at,status,lat,lng
blr,20096307,40.0,Dodda Bidarkallu,Dodda Bidarakallu,Storm  Water Drain(SWD),Maintenance of SWD,DRAINAGE,,2020-12-31 03:18:00,Closed,,
blr,20096306,167.0,Yadiyuru,Yediyur,Forest,Removal of dead/fallen trees,OTHER,,2020-12-31 03:12:00,Resolved,,
blr,20096305,177.0,J.P.Nagar,J P Nagar,Electrical,Street Light Not Working,STREETLIGHT,,2020-12-31 03:05:00,Closed,,
blr,20096304,184.0,Uttarahalli,Uttarahalli,Electrical,Street Light Not Working,STREETLIGHT,,2020-12-31 03:00:00,Closed,,
blr,20096303,30.0,Kadugondanahalli,Kadugondanahalli,Electrical,Street Light Not Working,STREETLIGHT,,2020-12-31 02:56:00,Closed,,
blr,20096302,76.0,Gayathri Nagar,Gayithri Nagar,Solid Waste (Garbage) Related,Public dustbins not cleaned,GARBAGE,,2020-12-31 12:05:00,Rejected,,
blr,20096301,76.0,Gayathri Nagar,Gayithri Nagar,Solid Waste (Garbage) Related,Garbage dump,GARBAGE,,2020-12-31 12:04:00,Rejected,,
blr,20096300,76.0,Gayathri Nagar,Gayithri Nagar,Solid Waste (Garbage) Related,Garbage dump,GARBAGE,,2020-12-31 12:02:00,Rejected,,
blr,20096299,76.0,Gayathri Nagar,Gayithri Nagar,Solid Waste (Garbage) Related,Garbage dump,GARBAGE,,2020-12-31 12:01:00,Rejected,,
blr,20096298,76.0,Gayathri Nagar,Gayithri Nagar,Solid Waste (Garbage) Related,Garbage dump,GARBAGE,,2020-12-31 12:00:00,Rejected,,
blr,20096297,76.0,Gayathri Nagar,Gayithri Nagar,Solid Waste (Garbage) Related,Garbage dump,GARBAGE,,2020-12-31 11:56:00,Rejected,,
blr,20096296,76.0,Gayathri Nagar,Gayithri Nagar,Solid Waste (Garbage) Related,Garbage dump,GARBAGE,,2020-12-31 11:47:00,Rejected,,
blr,20096295,76.0,Gayathri Nagar,Gayithri Nagar,Solid Waste (Garbage) Related,Garbage dump,GARBAGE,,2020-12-31 11:46:00,Rejected,,
blr,20096294,76.0,Gayathri Nagar,Gayithri Nagar,Solid Waste (Garbage) Related,Garbage dump,GARBAGE,,2020-12-31 11:43:00,Rejected,,
blr,20096293,76.0,Gayathri Nagar,Gayithri Nagar,Solid Waste (Garbage) Related,Garbage dump,GARBAGE,,2020-12-31 11:41:00,Rejected,,
blr,20096292,76.0,Gayathri Nagar,Gayithri Nagar,Solid Waste (Garbage) Related,Garbage dump,GARBAGE,,2020-12-31 11:39:00,Rejected,,
blr,20096291,76.0,Gayathri Nagar,Gayithri Nagar,Solid Waste (Garbage) Related,Garbage dump,GARBAGE,,2020-12-31 11:38:00,Rejected,,
blr,20096290,180.0,Banashankari Temple Ward,Banashankari Temple ward,CORONA COVID19,Government regulations not being followed,OTHER,,2020-12-31 02:54:00,Closed,,
